id,emotion
1314540427874308096,sadness
1314533448405614592,sadness
1314509086596239360,sadness
1314493025700077568,anger
1314477729371299840,optimism
1283573207090561024,sadness
1278098225723998208,optimism
1278098076054491136,anger
1278097246089875456,optimism
1278034342934204416,anger
1278010159500066816,anger
1278005673117331456,optimism
1277998840172470272,sadness
1256970626075631616,optimism
1280135360459259904,joy
1280119787042070528,anger
1280054326556340224,optimism
1279830833709428736,optimism
1279654107595374592,joy
1279482560872153088,joy
1279464386667692032,optimism
1279407090453352448,anger
1279384232595525632,optimism
1279354039482888192,optimism
1279126402550378496,joy
1279091255767715840,joy
1279051960570785792,anger
1279050742658142208,joy
1279043924577923072,optimism
1279039726922719232,joy
1404077366696087552,joy
1404003571218227200,sadness
1403814750681698304,joy
1403774291871678464,sadness
1403739621490577408,joy
1403732130191089664,optimism
1403729139392208896,joy
1403728303815544832,optimism
1403726429628604416,anger
1403721832063246336,joy
1403721824328896512,sadness
1403720434110054400,joy
1403714483206426624,optimism
1403709568027402240,sadness
1403705583660900352,joy
1403705549301157888,joy
1403705467205996544,optimism
1403704590801977344,optimism
1403704453421846528,joy
1403703561473736704,joy
1403703044345413632,joy
1403702306449891328,anger
1403702124786094080,joy
1403685493083103232,joy
1403680175775232000,optimism
1403678110143373312,joy
1403677861827985408,joy
1403666589174702080,sadness
1403665587209973760,joy
1403665153644806144,joy
1403664907623665664,optimism
1403645095044341760,joy
1403642838835945472,joy
1403641171122044928,sadness
1349516554636062720,sadness
1349482208000696320,anger
1349481185731375104,sadness
1349477371640950784,sadness
1349477163452538880,sadness
1349464531907600384,joy
1349463721609981952,optimism
1349461665910296576,sadness
1349460312148373504,joy
1551557891278180352,joy
1550435866203619328,sadness
1550432853359484928,sadness
1550432132069302272,sadness
1550424626198724608,joy
1550422649343320064,sadness
1550421475789783040,joy
1543327970349170688,joy
1540792376876273664,joy
1540301093162434560,sadness
1540300986786451456,joy
1537694352402788352,optimism
1537551356281733120,optimism
1537544006162432000,joy
1537537297586978816,joy
1537525996060041216,optimism
1537523162140884992,optimism
1537519908573134848,optimism
1537515760511221760,joy
1537514653642895360,sadness
1537514436528832512,optimism
1537513455128825856,joy
1537509739902517248,joy
1537507678288855040,optimism
1537505779300896768,sadness
1537503599260860416,optimism
1537499452809916416,joy
1537496883152691200,sadness
1537493098602942464,optimism
1537492659677278208,anger
1537492476113862656,anger
1537487772704980992,sadness
1537466455880499200,optimism
1537465641149554688,optimism
1537464766578425856,sadness
1537456420999806976,optimism
1537455747939938304,optimism
1537454529951715328,joy
1537445487271284736,joy
1537443213920722944,joy
1537432566042484736,sadness
1537427701195153408,joy
1537424777463357440,sadness
1537421645337751552,joy
1537413523499794432,sadness
1537413253596434432,joy
1537412868504702976,joy
1537410526057201664,optimism
1537410404024045568,optimism
1537406920100925440,joy
1537406887699828736,joy
1537405691652100096,joy
1537404394064445440,sadness
1537403000121081856,joy
1537400961127395328,joy
1537400318484713472,sadness
1537399756237971456,anger
1537395994341560320,joy
1537393004432003072,sadness
1537391459233681408,joy
1537390293682634752,optimism
1537389667322150912,joy
1537389181428695040,optimism
1537387049673793536,joy
1537386318430453760,joy
1537385922760740864,optimism
1537379875174109184,joy
1537379803535446016,joy
1537376224426729472,joy
1537374639541866496,joy
1537370080220446720,joy
1537369902708838400,joy
1537368651485028352,sadness
1537363335229984768,joy
1537360519774064640,optimism
1537359581956939776,joy
1537359517679230976,joy
1537359047959187456,anger
1537358851724525568,joy
1537358464896446464,joy
1537358223958761472,optimism
1537358221345685504,joy
1537357994916294656,sadness
1537357586210725888,sadness
1537357112757583872,joy
1537356911292600320,joy
1537356488695586816,joy
1537356444055621632,joy
1537355403230695424,joy
1537354554559307776,joy
1537354263076032512,optimism
1537352874530951168,joy
1537351958092193792,sadness
1537347228041244672,optimism
1537345801403392000,joy
1537343234577514496,joy
1537340250002964480,optimism
1537340022344630272,joy
1537339802990813184,joy
1537339090219188224,joy
1537338776900583424,joy
1537336434146803712,optimism
1537336202281492480,joy
1537336045884301312,joy
1537335758771593216,sadness
1537335681546129408,optimism
1537335212753014784,joy
1537334350857097216,sadness
1537334083373629440,sadness
1537333664245235712,sadness
1537332466888892416,joy
1537331463166779392,joy
1537331424549814272,joy
1537330725887803392,sadness
1537327213632184320,joy
1537326121355825152,optimism
1537322551055106048,joy
1537321885347852288,optimism
1537320366762237952,joy
1537319632394231808,sadness
1537315777220583424,joy
1537314518556102656,optimism
1537312543022129152,joy
1537309621773271040,optimism
1537308344666443776,anger
1537303839795290112,joy
1537276164749897728,joy
1537273973703991296,sadness
1537247266917974016,joy
1537246546953023488,sadness
1537235317572632576,joy
1537235294230958080,joy
1537234974306250752,joy
1537217771787927552,joy
1537216839914487808,joy
1537208610446618624,joy
1537206909069053952,joy
1537206229411430400,sadness
1537205071863324672,sadness
1537204824097312768,optimism
1537203803178651648,sadness
1537203097218457600,joy
1537201655497773056,anger
1537201262189588480,joy
1537199815075024896,sadness
1537198762262777856,joy
1537197075775033344,sadness
1537196704721956864,optimism
1537196296922189824,optimism
1537195721622970368,joy
1537195335176572928,joy
1537194204559986688,joy
1537193779375099904,joy
1537192813397426176,joy
1537192454058917888,optimism
1537189554238914560,joy
1537188390055333888,joy
1537188376369061888,optimism
1537187793121705984,joy
1537187600070545408,joy
1537187079557357568,joy
1537186789068349440,sadness
1537185467770507264,optimism
1537185159048462336,sadness
1537184748447186944,joy
1537184746333405184,anger
1537184214587777024,joy
1537183874467364864,joy
1537183850371362816,joy
1537183757832441856,joy
1537183618317025280,joy
1537182738326900736,joy
1537182381978931200,sadness
1537182279155339264,sadness
1537182270351720448,optimism
1537181700295622656,sadness
1537181229526794240,joy
1537180618643185664,joy
1537180412019150848,joy
1537180117541146624,joy
1537180108238245888,joy
1537178427148488704,joy
1537178294977691648,optimism
1537176784026107904,optimism
1537176222655979520,joy
1537175924474527744,optimism
1537175564615880704,joy
1537175083789209600,optimism
1537175037890928640,optimism
1537175037849083904,sadness
1537174969507057664,optimism
1537174657811501056,optimism
1537174560482766848,optimism
1537174412088205312,optimism
1537174260116082688,joy
1537174232563605504,optimism
1537174193485271040,joy
1537174163504390144,optimism
1537174053987000320,optimism
1537173992758460416,joy
1537173982226665472,optimism
1537173879659057152,optimism
1537173580915539968,sadness
1537173406508060672,joy
1537172835256438784,joy
1537171544924995584,optimism
1537171440205701120,joy
1537171379124068352,joy
1537171077205573632,joy
1537170973719515136,joy
1537170442502512640,joy
1537170290115072000,sadness
1537170206417625088,optimism
1537170065640067072,optimism
1537170018567434240,optimism
1537169578018713600,optimism
1537169496884105216,joy
1537169387412668416,optimism
1537168927708418048,joy
1537168796875730944,joy
1537168650687467520,joy
1537168424153006080,optimism
1537167915895574528,optimism
1537167601842913280,joy
1537167561099460608,sadness
1537167146031144960,optimism
1537167024870379520,joy
1537166891445276672,optimism
1537165920380289024,joy
1537165819947409408,optimism
1537165804239659008,sadness
1537165512559427584,optimism
1537165443047337984,joy
1537164895023685632,joy
1537164669055447040,optimism
1537164517033054208,optimism
1537164364205002752,anger
1537164156431908864,joy
1537163696761339904,optimism
1537163615572213760,optimism
1537163573041979392,sadness
1537163542603915264,optimism
1537163515248746496,sadness
1537163498266013696,optimism
1537163474433937408,optimism
1537163418867744768,joy
1537163394712731648,optimism
1537163258771161088,optimism
1537163068060356608,joy
1537163054273667072,optimism
1537163015358922752,joy
1537163006467088384,sadness
1537162969200709632,optimism
1537162939530108928,sadness
1537162914246840320,optimism
1537162873465716736,optimism
1537162854192885760,optimism
1537162524881297408,joy
1537161991453872128,joy
1537161755385905152,joy
1537161742161256448,joy
1537161001942016000,anger
1537160421471309824,optimism
